earlier,раньше,vorhin,drive,mais cedo,mas temprano,plus tot
ever,когда-либо,je,vubec,sempre,siempre,deja
every,каждый,jeden,kazdy,cada,cada,chaque
everyone,все,jeder,kazdy,todos,todo el mundo,toutes les personnes
evoke,вызывать,hervorrufen,vyvolat,evocar,evocar,evoquer
exact,точный,genau,presny,exata,exacta,exacte
exceed,превышать,uberschreiten,prekrocit,ultrapassarem,exceder,depasser
except,исключать,ausschließen,az na,exceto,excepto,sauf
exclusive,эксклюзивный,exklusiv,vyhradni,exclusiva,exclusiva,exclusive
excuse,извинение,entschuldigung,omluva,com licenca,excusa,excuse
execute,выполнять,ausfuhren,vykonat,executar,ejecutar,executer
exercise,упражнение,упражнение,ubung,cviceni,exercicio,ejercicio,exercice
exhibition,выставка,ausstellung,vystava,exibicao,exposicion,exposition
exist,существовать,existieren,existovat,existir,existe,exister
expander,расширитель,expander,expander,expansor,expansor,elargir
expat,эмигрант,expat,expat,expat,expatriada,expat
expect,ожидать,erwarten von,ocekavat,espero,esperar,attendre
expert,эксперт,expertin,expert,especialista,experta,experte
expired,истекший,abgelaufen,prosly,expirada,muerta,expire
explain,объяснять,erklaren,vysvetlit,explicar,explique,explique
explicit,явный,ausdrucklich,explicitne,explicita,explicita,explicite
explore,исследовать,erkunden,prozkoumat,explorar,explorar,explorer
export,экспорт,export,vyvozni,exportacao,exportar,exportation
expression,выражение,ausdruck,vyraz,expressao,expresion,expression
extend,расширять,erweitern,rozsirit,ampliar,ampliar,etendre
external,внешний,extern,externi,externa,externo,externe
extraction,извлечение,extraktion,tezba,extracao,extraccion,extraction
eye,глаз,auge,oko,olho,ojo,œil
English,Russian,Deutsche,Czech,Portugal,Spanish,France
http://www.oflameron.com
