daily,ежедневный,taglich,denne,diariamente,diario,du quotidien
delimitation,разграничение,abgrenzung,vymezeni,delimitacao,delimitacion,delimitation
delivery,доставка,ieferung,dodavka,entrega,entrega,livraison
demand,запрос,nachfrage,poptavka,exigem,pedido,demande
demonstrate,показывать,zeigen,prokazat,demonstrar,espectáculo,montrer
density,плотность,dichte,hustota,densidade,densidad,densité
dental,зубной,dental,zubni,dental,dental,dentaire
departure,отъезд,abfahrt,odchod,saida,partida,départ
depend,зависеть,abhangen,zaviset,depender,depender,dépendre
deposit,депозит,anzahlung,vklad,deposito,depósito,dépôt
deprecate,возражать,missbilligen,zneplatnit,depreciar,mente,esprit
descend,спускаться,absteigen,sestoupit,descer,descender,descendre
designate,обозначать,benennen,urcit,designar,designada,designer
desk,стол,schreibtisch,lavice,mesa,escritorio,bureau
destination,назначение,ziel,destinace,destino,destino,destination
detail,детальный,detail,detail,detalhe,detalle,detail
detect,обнаруживать,erkennen,detekovat,detectar,detectar,detecter
determinate,определенный,bestimmen,urcit,determinada,determinada,determinee
develop,развивать,entwickeln,rozvijet,desenvolve,desarrollar,developper
device,устройство,gerat,pristroj,dispositiva,dispositivo,dispositif
deactivate,отключать,deaktivieren,deaktivovat,desativar,desactivar,desactiver
dealer,торговец,handlerin,obchodnik,revendedora,comerciante,marchande
dear,дорогой,liebe,mily,querida,querida,chere
debate,дебаты,debatte,rozprava,debate,debate,debat
debt,долг,schuld,dluh,divida,deuda,dette
debug,отлаживать,debuggen,ladit,depurar,depurar,deboguer
debut,дебют,debut,debut,estreia,debut,debut
decade,десяток,dekade,desetileti,decada,decada,decennie
december,декабрь,dezember,prosinec,dezembro,diciembre,decembre
decession,уменьшение,dezession,decese,decessao,decesion,decession
decibel,децибел,dezibel,decibel,decibel,decibel,decibel
decimeter,дециметр,dezimeter,decimetr,decimetro,decimetro,decimetre
decision,решение,entscheidung,rozhodnuti,decisao,decision,decision
declare,объявлять,erklaren,prohlasit,declarar,declarar,declarer
decode,декодировать,dekodieren,dekodovat,decodificar,descodificar,decoder
decorate,декорировать,schmucken,vyzdobit,decorar,decorar,decorer
decrypt,декодировать,entschlusseln,desifrovat,decifrar,descifrar,decrypter
deduct,вычесть,abziehen,odecist,deduzir,deducir,deduire
defect,дефект,defekt,prebehnout,defeito,defecto,defaut
defence,оборона,verteidigung,obrana,defesa,defensa,la defense
defend,защищать,verteidigen,hajit,defender,defender,defendre
define,определять,definieren,definovat,definir,definir,definir
deflate,снижать,entleeren,vypustit,esvaziar,desinflar,degonfler
deformation,деформация,verformung,deformace,deformacao,deformacion,deformation
degree,градус,grad,stupen,grau,la licenciatura,degre
degustation,дегустация,degustation,degustace,degustacao,degustacion,degustation
dehydrate,обезвоживать,entwassern,dehydratovat,desidratar,deshidratar,deshydrater
delay,задержка,verzogern,zpozdeni,demora,retrasar,retard
delegate,представитель,delegieren,delegat,delegar,delegar,deleguer
delete,удалять,loschen,odstranit,excluir,eliminar,effacer
delicate,деликатный,zart,delikatni,delicada,delicada,delicate
delimitate,разграничивать,abgrenzen,limitovat,delimitar,delimitar,delimiter
delivered,доставленный,geliefert,doruceno,entregue,entregada(,livre
demand,запрос,nachfrage,poptavka,exigem,demanda,demande
demo,показ,demo,demo,demonstracao,manifestacion,demo
democracy,демократия,demokratie,demokracie,democracia,democracia,la democratie
demodulation,демодуляция,demodulation,demodulace,desmodulacao,demodulacion,demodulation
demonstrate,демонстрировать,zeigen,prokazat,demonstrar,demostrar,demontrer
density,плотность,dichte,hustota,densidade,densidad,densite
dental,зубной,dental,zubni,dental,dental,dentaire
deny,отрицать,verweigern,odmitnout,negar,negar,nier
departure,отправление,abfahrt,odchod,saida,salida,depart
depend,зависеть,abhangen,zaviset,depender,depender,dependre
deploy,развертывать,bereitstellen,rozmistit,mplantar,desplegar,deployer
deployment,размещение,einsatz,rozvinuti,desdobramento,despliegue,deploiement
deposit,вклад,anzahlung,vklad,deposito,depositar,depot
deprecate,протестовать,missbilligen,zneplatnit,depreciar,desaprobar,desapprouver
descent,спуск,abstammung,klesani,descida,descendencia,descente
description,описание,beschreibung,popis,descricao,descripcion,la description
design,дизайн,design,design,desenhar,diseno,conception
desk,стол,schreibtisch,lavice,mesa,escritorio,bureau
desktop,настольный,desktop,plocha pocitace,area de trabalho,escritorio,bureau
destination,назначение,ziel,destinace,destino,destino,destination
details,детали,einzelheiten,podrobnosti,detalhes,detalles,details
detect,обнаруживать,erkennen,detec,detec,detectar,detecter
detergent,моющий,waschmittel,cistici prostredek,detergente,detergente,detergente
develop,развивать,entwickeln,rozvijet,desenvolve,desarrollar,developper
dial,циферблат,wahlen,ciselnik,discar,marcar,cadran
dialog,диалог,dialog,dialog,dialogo,dialogo,dialogue
diameter,диаметр,durchmesser,prumer,diametro,diametro,diametre
diamond,алмаз,diamant,diamant,diamante,diamante,diamant
dictation,диктант,diktat,diktat,ditado,dictado,dictation
diction,дикция,diktion,dikce,diccao,diccion,diction
did,делать,tat,delal,fez,hizo,fait
difference,разница,unterschied,rozdil,diferenca,diferencia,difference
difficult,трудный,schwierig,obtizny,dificil,dificil,difficile
digital,цифровой,digital,digitalni,digital,digital,numerique
dilettant,дилетант,dilettant,diletant,diletante,diletante,dilettant
diner,обедающий,abendessen,vecere,o jantar,cena,le diner
diplomat,дипломат,diplomat,diplomat,diplomata,diplomatica,diplomate
direct,прямой,direkt,primo,direta,directa,directe
direction,направление,richtung,smer,direcao,direccion,direction
directly,прямо,direkt,primo,diretamente,directamente,directement
directory,каталог,verzeichnis,adresar,diretorio,directorio,annuaire
dirt,грязь,dreck,spina,sujeira,suciedad,salete
disc,диск,disc,disk,disco,dto,disque
discard,verwerfen,отбрасывать,zahodit,descartar,descarte,jeter
discharge,разрядить,entladen,vybit,descarga,descarga,decharge
discipline,дисциплина,disziplin,disciplina,disciplina,disciplina,la discipline
disclaim,отказывать,verweigern,poprit,negar,negar,desavouer
disconnect,отключать,trennen,odpojit,desconectar,desconectar,deconnecter
discontinue,прекращать,aufhoren,prestat,descontinuar,interrumpir,cesser
discount,скидка,rabatt,sleva,desconto,descuento,remise
discover,находить,entdecken,objevit,descobrir,descubrir,decouvrir
discrete,дискретный,diskret,oddeleny,discreta,discreta,discrete
discussion,дискуссия,diskussion,diskuse,discussao,discusion,discussion
dishes,посуда,geschirr,nadobi,pratos,platos,vaisselle
disk,диск,fahren,disk,disco,disco,disque
dismount,слезть,absteigen,sesednout,desmontar,desmontar,demonter
dispatcher,диспетчер,dispatcher,odesilatel,expedidora,despachadora,repartitrice
dispense,раздавать,verteilen,vydat,dispensar,dispensar,dispenser
disperse,рассеять,zerstreuen,rozptylit,dispersar,dispersar,disperser
display,дисплей,anzeige,zobrazit,exibicao,monitora,afficher
distance,дистанция,entfernung,vzdalenost,distancia,distancia,distance
distillation,дистилляция,destillation,destilace,destilacao,destilacion,distillation
distribute,распределять,verteilen,distribuovat,distribuir,distribuir,distribuer
distrust,недоверие,misstrauen,neduvera,desconfianca,desconfianza,mefiance
diversify,разнообразить,diversifizieren,diverzifikovat,diversificar,diversificar,diversifier
divide,делить,teilen,rozdelit,dividir,dividir,diviser
division,отдел,teilung,divize,divisao,division,division
do,делать,machen,delat,faz,hacer,faire
doctor,доктор,arztin,doktor,medica,doctora,medecin
document,документ,dokumentieren,dokument,documento,documento,document
dog,собака,hund,pes,cadela,perra,chienne
domestic,внутренний,inlandisch,domaci,domestica,domestica,nationale
don't,не надо,nicht,ne,nao,no lo hagas,ne pas
door,дверь,tur,dvere,porta,puerta,porte
dot,точка,punkt,tecka,ponto,punto,point
double,двойной,doppelt,dvojnasobek,dupla,doble,double
down,вниз,nieder,dolu,baixa,abajo,vers le bas
draw,рисовать,zeichnen,kreslit,desenhar,dibujar,dessiner
drink,напиток,trinken,napit se,beber,bebida,boisson
drive,ехать,fahrt,ridit,dirigir,manejar,conduire
driver,водитель,treiber,ridic,motorista,conductora,chauffeuse
dry,сухой,trocken,suchy,seca,seca,seche
dual,двойной,dual,dvoji,dual,doble,double
dump,свалка,kippe,skladka,despejo,tugurio,deverser
duplicate,дубликат,duplikat,duplikat,duplicada,duplicar,dupliquer
dust,пыль,staub,prach,poeira,polvo,poussiere
dutch,жена,niederlandisch,holandsky,holandesa,holandesa,neerlandaise
dynamic,динамический,dynamisch,dynamicky,dinamica,dinamica,dynamique
English,Russian,Deutsche,Czech,Portugal,Spanish,France
http://www.oflameron.com
